avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count
-17.59,-21.10,0.39,0.47,0,0.00,100.00,Yes,1429
-32.29,-38.74,0.36,0.43,0,0.00,100.00,Yes,1870
-22.72,-27.26,0.36,0.44,0,0.00,100.00,Yes,1583
-33.57,-40.26,0.35,0.42,0,0.00,100.00,Yes,1908
-26.23,-31.46,0.37,0.44,0,0.00,100.00,Yes,1688
-21.78,-26.13,0.41,0.49,0,0.00,100.00,Yes,1555
-24.92,-29.90,0.39,0.47,0,0.00,100.00,Yes,1649
-24.12,-28.93,0.39,0.47,0,0.00,100.00,Yes,1625
-20.71,-24.85,0.45,0.55,0,0.00,100.00,Yes,1523
-37.22,-44.65,0.34,0.41,0,0.00,100.00,Yes,2017
-21.08,-25.28,0.43,0.52,0,0.00,100.00,Yes,1534
-20.69,-24.82,0.41,0.49,0,0.00,100.00,Yes,1522
-10.87,-13.04,0.44,0.53,0,0.00,100.00,Yes,1228
-17.15,-20.57,0.41,0.50,0,0.00,100.00,Yes,1416
-3.89,-4.67,0.48,0.57,0,0.00,100.00,Yes,1019
-13.00,-15.60,0.46,0.55,0,0.00,100.00,Yes,1292
-14.95,-17.93,0.40,0.48,0,0.00,100.00,Yes,1350
-7.99,-9.59,0.49,0.58,0,0.00,100.00,Yes,1142
-20.07,-24.08,0.46,0.56,0,0.00,100.00,Yes,1504
-13.23,-15.87,0.47,0.57,0,0.00,100.00,Yes,1299
-7.15,-8.58,0.51,0.61,0,0.00,100.00,Yes,1117
-6.93,-8.32,0.48,0.58,0,0.00,100.00,Yes,1110
-8.20,-9.84,0.47,0.57,0,0.00,100.00,Yes,1148
9.68,11.73,0.53,0.64,0,0.00,100.00,Yes,582
11.05,13.26,0.52,0.62,0,0.00,100.00,Yes,571
12.46,15.21,0.54,0.66,0,0.00,100.00,Yes,487
4.18,5.02,0.51,0.61,0,0.00,100.00,Yes,777
0.71,0.85,0.49,0.59,0,0.00,100.00,Yes,881
-58.58,-70.28,0.18,0.22,0,0.00,100.00,Yes,2657
4.74,5.73,0.56,0.68,0,0.00,100.00,Yes,734
6.49,7.88,0.54,0.65,0,0.00,100.00,Yes,670
12.04,14.58,0.55,0.67,0,0.00,100.00,Yes,517
-4.22,-5.06,0.48,0.57,0,0.00,100.00,Yes,1029
10.10,12.41,0.54,0.67,0,0.00,100.00,Yes,536
3.68,4.41,0.52,0.62,0,0.00,100.00,Yes,792
17.25,21.48,0.53,0.66,0,0.00,100.00,Yes,326
19.54,24.18,0.53,0.65,0,0.00,100.00,Yes,275
23.13,29.14,0.52,0.66,0,0.00,100.00,Yes,169
19.57,24.66,0.52,0.66,0,0.00,100.00,Yes,255
25.23,31.95,0.51,0.65,0,0.00,100.00,Yes,116
-0.42,-0.50,0.61,0.73,0,0.00,100.00,Yes,915
16.26,20.41,0.51,0.64,0,0.00,100.00,Yes,340
19.96,25.46,0.51,0.65,0,0.00,100.00,Yes,235
24.53,31.45,0.51,0.66,0,0.00,100.00,Yes,127
2.82,3.52,0.50,0.62,0,0.00,100.00,Yes,688
-9.52,-11.43,0.55,0.65,0,0.00,100.00,Yes,1188
25.88,33.53,0.50,0.65,0,0.00,100.00,Yes,93
27.12,35.47,0.50,0.66,0,0.00,100.00,Yes,64
21.69,27.95,0.51,0.66,0,0.00,100.00,Yes,188
21.47,28.16,0.51,0.67,0,0.00,100.00,Yes,182
