avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count
-21.79,-26.14,0.36,0.43,0,0.00,100.00,Yes,1555
-32.06,-38.46,0.35,0.42,0,0.00,100.00,Yes,1863
-27.39,-32.86,0.38,0.45,0,0.00,100.00,Yes,1723
-33.34,-39.99,0.34,0.41,0,0.00,100.00,Yes,1901
-27.56,-33.06,0.36,0.44,0,0.00,100.00,Yes,1728
-21.89,-26.25,0.39,0.46,0,0.00,100.00,Yes,1558
-25.49,-30.57,0.41,0.49,0,0.00,100.00,Yes,1666
-26.32,-31.58,0.39,0.47,0,0.00,100.00,Yes,1691
-20.09,-24.10,0.38,0.45,0,0.00,100.00,Yes,1504
-29.70,-35.62,0.36,0.44,0,0.00,100.00,Yes,1792
-27.56,-33.06,0.37,0.44,0,0.00,100.00,Yes,1728
-16.11,-19.33,0.41,0.50,0,0.00,100.00,Yes,1385
-26.21,-31.44,0.43,0.51,0,0.00,100.00,Yes,1688
-25.85,-31.01,0.39,0.47,0,0.00,100.00,Yes,1677
-17.92,-21.49,0.41,0.49,0,0.00,100.00,Yes,1439
-18.78,-22.53,0.43,0.52,0,0.00,100.00,Yes,1465
-21.09,-25.29,0.40,0.48,0,0.00,100.00,Yes,1534
-24.28,-29.13,0.41,0.50,0,0.00,100.00,Yes,1630
-25.15,-30.17,0.42,0.51,0,0.00,100.00,Yes,1656
-25.85,-31.01,0.40,0.48,0,0.00,100.00,Yes,1677
-16.88,-20.25,0.42,0.50,0,0.00,100.00,Yes,1408
-22.52,-27.01,0.43,0.52,0,0.00,100.00,Yes,1577
-26.26,-31.50,0.39,0.47,0,0.00,100.00,Yes,1689
-19.72,-23.65,0.41,0.49,0,0.00,100.00,Yes,1493
-17.88,-21.45,0.43,0.52,0,0.00,100.00,Yes,1438
-14.23,-17.07,0.46,0.55,0,0.00,100.00,Yes,1329
-20.88,-25.05,0.43,0.52,0,0.00,100.00,Yes,1528
-10.51,-12.61,0.42,0.50,0,0.00,100.00,Yes,1217
