episode,agent,avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count,opponent_collision_count,most_frequent_rank
1,C,-43.07,-85.97,0.13,0.27,0,0.00,100.00,Yes,64,668,3
1,A,-51.97,-103.74,0.15,0.30,0,0.00,100.00,Yes,177,1354,2
1,B,-39.57,-78.98,0.15,0.30,0,0.00,100.00,Yes,660,686,1
2,C,-32.56,-65.00,0.14,0.28,0,0.00,100.00,Yes,103,531,3
2,A,-46.27,-92.35,0.16,0.32,0,0.00,100.00,Yes,230,1197,2
2,B,-37.06,-73.98,0.16,0.32,0,0.00,100.00,Yes,633,666,1
3,C,-25.66,-51.21,0.15,0.30,0,0.00,100.00,Yes,158,473,3
3,A,-37.36,-74.58,0.17,0.33,0,0.00,100.00,Yes,452,1029,2
3,B,-25.86,-51.62,0.17,0.33,0,0.00,100.00,Yes,496,556,1
4,C,-43.27,-86.37,0.13,0.25,0,0.00,100.00,Yes,96,648,3
4,A,-44.68,-89.17,0.14,0.28,0,0.00,100.00,Yes,60,1328,2
4,B,-40.77,-81.38,0.14,0.29,0,0.00,100.00,Yes,694,680,1
5,C,-16.54,-33.02,0.17,0.34,0,0.00,100.00,Yes,393,119,3
5,A,-44.55,-88.92,0.18,0.37,0,0.00,100.00,Yes,662,655,1
5,B,-35.45,-70.75,0.18,0.35,0,0.00,100.00,Yes,0,704,2
6,C,-30.05,-59.99,0.16,0.32,0,0.00,100.00,Yes,65,565,3
6,A,-50.16,-100.12,0.17,0.34,0,0.00,100.00,Yes,658,1021,1
6,B,-19.05,-38.03,0.17,0.33,0,0.00,100.00,Yes,280,478,2
7,C,-13.35,-26.64,0.16,0.32,0,0.00,100.00,Yes,381,80,3
7,A,-23.95,-47.80,0.18,0.35,0,0.00,100.00,Yes,392,249,2
7,B,-20.14,-40.21,0.18,0.36,0,0.00,100.00,Yes,461,169,1
8,C,-17.84,-35.61,0.17,0.33,0,0.00,100.00,Yes,451,79,3
8,A,-35.95,-71.75,0.19,0.38,0,0.00,100.00,Yes,649,424,1
8,B,-13.35,-26.64,0.17,0.35,0,0.00,100.00,Yes,0,503,2
9,C,-50.89,-101.57,0.09,0.18,0,0.00,100.00,Yes,809,0,3
9,A,-40.68,-81.19,0.13,0.27,0,0.00,100.00,Yes,86,624,2
9,B,-38.07,-76.00,0.14,0.28,0,0.00,100.00,Yes,672,624,1
10,C,-35.26,-70.38,0.15,0.30,0,0.00,100.00,Yes,180,614,3
10,A,-14.75,-29.43,0.18,0.36,0,0.00,100.00,Yes,425,86,1
10,B,-31.46,-62.80,0.15,0.31,0,0.00,100.00,Yes,398,630,2
11,C,-19.74,-39.41,0.16,0.32,0,0.00,100.00,Yes,471,231,3
11,A,-29.55,-58.98,0.18,0.36,0,0.00,100.00,Yes,376,559,1
11,B,-17.55,-35.02,0.17,0.34,0,0.00,100.00,Yes,0,598,2
12,C,-13.65,-27.24,0.16,0.31,0,0.00,100.00,Yes,410,130,3
12,A,-13.25,-26.44,0.19,0.38,0,0.00,100.00,Yes,433,0,1
12,B,-14.95,-29.84,0.17,0.33,0,0.00,100.00,Yes,426,130,2
13,C,-14.24,-28.43,0.16,0.33,0,0.00,100.00,Yes,155,288,3
13,A,-30.65,-61.18,0.18,0.35,0,0.00,100.00,Yes,447,338,2
13,B,-9.94,-19.85,0.18,0.36,0,0.00,100.00,Yes,400,50,1
14,C,-44.98,-89.78,0.12,0.24,0,0.00,100.00,Yes,703,75,3
14,A,-9.95,-19.85,0.19,0.37,0,0.00,100.00,Yes,400,0,1
14,B,-45.48,-90.78,0.13,0.25,0,0.00,100.00,Yes,680,75,2
15,C,-45.28,-90.37,0.12,0.24,0,0.00,100.00,Yes,0,753,3
15,A,-45.28,-90.38,0.13,0.27,0,0.00,100.00,Yes,26,1437,2
15,B,-39.67,-79.19,0.14,0.27,0,0.00,100.00,Yes,654,684,1
16,C,-31.05,-61.97,0.17,0.33,0,0.00,100.00,Yes,0,611,3
16,A,-43.65,-87.13,0.18,0.35,0,0.00,100.00,Yes,441,677,2
16,B,-3.35,-6.68,0.18,0.35,0,0.00,100.00,Yes,332,66,1
17,C,-42.47,-84.77,0.13,0.26,0,0.00,100.00,Yes,46,1276,3
17,A,-40.87,-81.58,0.14,0.29,0,0.00,100.00,Yes,218,1299,1
17,B,-39.37,-78.59,0.14,0.27,0,0.00,100.00,Yes,0,1273,2
18,C,-18.94,-37.81,0.16,0.32,0,0.00,100.00,Yes,471,55,3
18,A,-2.35,-4.69,0.18,0.36,0,0.00,100.00,Yes,299,55,1
18,B,5.96,11.90,0.18,0.36,0,0.00,100.00,Yes,241,0,2
19,C,-18.85,-37.62,0.17,0.33,0,0.00,100.00,Yes,360,286,3
19,A,-32.15,-64.17,0.18,0.36,0,0.00,100.00,Yes,541,529,1
19,B,3.85,7.69,0.17,0.35,0,0.00,100.00,Yes,248,243,2
20,C,-30.15,-60.17,0.16,0.32,0,0.00,100.00,Yes,439,283,2
20,A,-27.95,-55.79,0.17,0.35,0,0.00,100.00,Yes,411,502,1
20,B,-10.25,-20.46,0.16,0.32,0,0.00,100.00,Yes,0,495,3
21,C,-15.55,-31.03,0.16,0.32,0,0.00,100.00,Yes,146,339,3
21,A,-34.85,-69.56,0.17,0.35,0,0.00,100.00,Yes,480,552,1
21,B,-32.15,-64.17,0.16,0.33,0,0.00,100.00,Yes,0,891,2
22,C,-42.97,-85.77,0.14,0.27,0,0.00,100.00,Yes,0,1285,3
22,A,-41.58,-82.99,0.15,0.29,0,0.00,100.00,Yes,713,1046,2
22,B,-38.67,-77.18,0.14,0.29,0,0.00,100.00,Yes,366,967,1
23,C,-25.16,-50.22,0.15,0.30,0,0.00,100.00,Yes,549,465,3
23,A,-25.56,-51.03,0.17,0.33,0,0.00,100.00,Yes,197,959,2
23,B,-25.56,-51.01,0.17,0.33,0,0.00,100.00,Yes,371,494,1
24,C,-12.34,-24.64,0.16,0.33,0,0.00,100.00,Yes,196,303,2
24,A,-13.05,-26.04,0.18,0.36,0,0.00,100.00,Yes,229,227,1
